textnumber,logstorytext1,logstorytext2,logstorytext3,logstorytext4,logstorytext5,logstorytext6,lengthcount,mainstory,26以上判定(以上で1),一行残り字数,二行残り字数,三行残り字数,四行残り字数,五行残り字数,六行残り字数
1,待ちに待った転校初日！,0,0,0,0,0,22,待ちに待った転校初日！,0,0,0,0,0,0,0
2,今日から通う織路原(おじはら,)学園ってどんな学園なんだろ,う？,0,0,0,58,今日から通う織路原(おじはら)学園ってどんな学園なんだろう？,1,32,4,0,0,0,0
3,転校初日っていうと私が大好 ,きな乙女ゲームではイケメンと,出会うのが基本だよね！,0,0,0,76,転校初日っていうと私が大好きな乙女ゲームではイケメンと出会うのが基本だよね！,1,50,22,0,0,0,0
4,ひょっとしてこの学園での転 ,校も沢山のイケメンと出会える,チャンスだったりして……？！,0,0,0,82,ひょっとしてこの学園での転校も沢山のイケメンと出会えるチャンスだったりして……？！,1,56,28,0,0,0,0
5,「キャー！」,0,0,0,0,0,12,「キャー！」,0,0,0,0,0,0,0
6,中庭のほうから女子生徒たち ,の悲鳴が聞こえてきた。,0,0,0,0,48,中庭のほうから女子生徒たちの悲鳴が聞こえてきた。,1,22,0,0,0,0,0
7,「キャー！OG☆3よ！」,0,0,0,0,0,21,「キャー！OG☆3よ！」,0,0,0,0,0,0,0
8,「あの……OG☆3ってなんのこ,とですか？」,0,0,0,0,39,「あの……OG☆3ってなんのことですか？」,1,13,0,0,0,0,0
9,「あなた知らないの？！あの3,3人がOG☆3よ！！」,0,0,0,0,44,「あなた知らないの？！あの3人がOG☆3よ！！」,1,18,0,0,0,0,0
10,女の子の指す方をみるとそこ ,には大勢の女子に囲まれた3人 , イケメンが見えた。,0,0,0,73,女の子の指す方をみるとそこには大勢の女子に囲まれた3人のイケメンが見えた。,1,47,19,0,0,0,0
11,「真ん中にいるのがスポーツ ,推薦で入ってきた1年生の本田 , 絆空(るきあ)くん。他の2人と, は幼馴染でよく一緒にいるみ ,たい。」,0,116,「真ん中にいるのがスポーツ推薦で入ってきた1年生の本田琉絆空(るきあ)くん。他の2人とは幼馴染でよく一緒にいるみたい。」,1,90,62,34,6,0,0
12,「朝からキャーキャー言って ,て本当女子って元気だよな～」,0,0,0,0,54,「朝からキャーキャー言ってて本当女子って元気だよな～」,1,28,0,0,0,0,0
13,「その横にいる七三分けで頭 ,のよさそうな人がいるでしょう,？その人が生徒会長の目鏡(め ,がね)光くん。」,0,0,96,「その横にいる七三分けで頭のよさそうな人がいるでしょう？その人が生徒会長の目鏡(めがね)光くん。」,1,70,42,14,0,0,0
14,「なんで僕らは日頃からこん ,なに囲まれてるんだ……。もう,すぐ模試があるのに皆勉強しな, くていいのか？」,0,0,98,「なんで僕らは日頃からこんなに囲まれてるんだ……。もうすぐ模試があるのに皆勉強しなくていいのか？」,1,72,44,16,0,0,0
15,「小柄でかわいい見た目の犬 ,山桜児(おうじ)くんは2年生！ , 前通り演劇部でよく王子役を ,やってるんだって。」,0,0,101,「小柄でかわいい見た目の犬山桜児(おうじ)くんは2年生！名前通り演劇部でよく王子役をやってるんだって。」,1,75,47,19,0,0,0
16,「やっほ～！みんな元気?？」, ,0,0,0,0,27,「やっほ～！みんな元気?？」,1,1,0,0,0,0,0
17,こ、ここは天国……？！転校 ,初日から本当に乙女ゲームみた,いなシチュエーションになっち, ゃった！,0,0,90,こ、ここは天国……？！転校初日から本当に乙女ゲームみたいなシチュエーションになっちゃった！,1,64,36,8,0,0,0
18,この3人とお近づきになれたら, いいな～。えへへ。えへへへ。,,0,0,0,57,この3人とお近づきになれたらいいな～。えへへ。えへへへへ。,1,31,0,0,0,0,0
19,ドン！,0,0,0,0,0,6,ドン！,0,0,0,0,0,0,0
20,「おい……て……か？」,0,0,0,0,0,22,「おい……て……か？」,0,0,0,0,0,0,0
21,何か声が聞こえる……？,0,0,0,0,0,22,何か声が聞こえる……？,0,0,0,0,0,0,0
22,「おい、お…てい……か？」,0,0,0,0,0,26,「おい、お…てい……か？」,0,0,0,0,0,0,0
23,私は一体何をしててこうなっ ,たんだっけ。乙女ゲームみたい,な展開に浮かれて、それで……,0,0,0,82,私は一体何をしててこうなったんだっけ。乙女ゲームみたいな展開に浮かれて、それで……,1,56,28,0,0,0,0
24,「聞こえているのかと言って ,いるんだ！」,0,0,0,0,38,「聞こえているのかと言っているんだ！」,1,12,0,0,0,0,0
25,「ヴェ？！」,0,0,0,0,0,12,「ヴェ？！」,0,0,0,0,0,0,0
26,「銅像が喋った～～?!!」,0,0,0,0,0,23,「銅像が喋った～～?!!」,0,0,0,0,0,0,0
27,「暇だから暖かな春の空気を ,満喫しておったらなんじゃその,肩パンは！創立者に向かって肩, パンて！」,0,0,92,「暇だから暖かな春の空気を満喫しておったらなんじゃその肩パンは！創立者に向かって肩パンて！」,1,66,38,10,0,0,0
28,「いや肩パンしたつもりは… ,…」,0,0,0,0,30,「いや肩パンしたつもりは……」,1,4,0,0,0,0,0
29,「うるさい！」,0,0,0,0,0,14,「うるさい！」,0,0,0,0,0,0,0
30,「ﾋｴｯ！」,0,0,0,0,0,9,「ﾋｴｯ！」,0,0,0,0,0,0,0
31,「どうせイケメンと乙女ゲー ,ムみたいな展開になるのを想像,して周りが見えてなかったのじ, ゃろう！」,0,0,92,「どうせイケメンと乙女ゲームみたいな展開になるのを想像して周りが見えてなかったのじゃろう！」,1,66,38,10,0,0,0
32,「ｷﾞｸｯ」,0,0,0,0,0,8,「ｷﾞｸｯ」,0,0,0,0,0,0,0
33,「そんなお調子者にはわしの ,暇つぶしとしてOG☆3のイケメ , たち3人とも,0,0,0,66,「そんなお調子者にはわしの暇つぶしとしてOG☆3のイケメンたち3人とも,1,40,12,0,0,0,0
34,個性的なおじさんに見えちゃ ,う呪いにかけてやるもんねェ～,！」,0,0,0,58,個性的なおじさんに見えちゃう呪いにかけてやるもんねェ～！」,1,32,4,0,0,0,0
35,「な、なにそれ？！じゃあイ ,ケメン達とすごくドキドキライ,フ?する未来は消えたってこと ,？」,0,0,85,「な、なにそれ？！じゃあイケメン達とすごくドキドキライフ?する未来は消えたってこと？」,1,59,31,3,0,0,0
36,「その自信はどこからきとる ,んじゃ……まあいい。2月のバ , ンタインまでにおじさん化し ,たOG☆3と愛を育み両思いにな ,れ！,0,112,「その自信はどこからきとるんじゃ……まあいい。2月のバレンタインまでにおじさん化したOG☆3と愛を育み両思いになれ！,1,86,58,30,2,0,0
37,そのときはまた、わしがおじ ,さんに見える呪いを解いて見せ,よう！,0,0,0,60,そのときはまた、わしがおじさんに見える呪いを解いて見せよう！,1,34,6,0,0,0,0
