number,mainstory,name,centercharacterimage,rightcenterimage,leftcenterimage,backimage,stillimage,charactercolor,bgm_state,bgm_num,se_num,selectdisp,selectbutton_num,monthimage,selectbuttontext3,selectbuttontext1,selectbuttontext2,textcolor,animation,moveanimation
1,待ちに待った転校初日！,えみ,clear,clear,clear,back_school,0,0,1,1,0,0,0,0,0,0,0,text_monologue,0,0
2,今日から通う小木原(おぎはら)学園ってどんな学園なんだろう？,えみ,clear,clear,clear,back_school,0,0,0,1,0,0,0,0,0,0,0,text_monologue,0,0
3,転校初日っていうと私が大好きな乙女ゲームではイケメンと出会うのが基本だよね！,えみ,clear,clear,clear,back_school,0,0,0,1,0,0,0,0,0,0,0,text_monologue,0,0
4,ひょっとしてこの学園への転校も沢山のイケメンと出会えるチャンスだったりして……？！,えみ,clear,clear,clear,back_school,0,0,0,1,0,0,0,0,0,0,0,text_monologue,0,0
5,「キャー！」,女子生徒たち,clear,clear,clear,back_school,0,0,0,1,0,0,0,0,0,0,0,text_mob,0,0
6,中庭のほうから女子生徒たちの悲鳴が聞こえてきた。,えみ,clear,clear,clear,back_school,0,0,0,1,0,0,0,0,0,0,0,text_monologue,0,0
7,「キャー！OG☆３よ！」,女子生徒たち,clear,clear,clear,back_garden,0,0,0,1,0,0,0,0,0,0,0,text_mob,0,0
8,「あの……OG☆３ってなんのことですか？」,えみ,clear,clear,clear,back_garden,0,0,0,1,0,0,0,0,0,0,0,text_own,0,0
9,「あなた知らないの？！あの３人がOG☆３よ！！」,女子生徒A,clear,clear,clear,back_garden,0,0,0,1,0,0,0,0,0,0,0,text_mob,0,0
10,女の子の指す方をみるとそこには大勢の女子に囲まれた３人のイケメンが見えた。,えみ,clear,clear,clear,back_garden,0,0,0,1,0,0,0,0,0,0,0,text_monologue,0,0
11,「真ん中にいるのがスポーツ推薦で入ってきた１年生の本田琉絆空(るきあ)くん。他の２人とは幼馴染でよく一緒にいるみたい。」,女子生徒A,rukia,clear,clear,back_garden,0,0,0,1,0,0,0,0,0,0,0,text_mob,0,0
