number,mainstory,name,centercharacterimage,rightcenterimage,leftcenterimage,backimage,stillimage,charactercolor,bgm,se,selectdisp,selectbutton_num,monthimage,selectbuttontext3,selectbuttontext1,selectbuttontext2,textcolor,fadeanimation,moveanimation
1,待ちに待った転校初日！,えみ,clear,clear,clear,back_school,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
2,今日から通う小木原(おぎはら)学園ってどんな学園なんだろう？,えみ,clear,clear,clear,back_school,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
3,転校初日っていうと私が大好きな乙女ゲームではイケメンと出会うのが基本だよね！,えみ,clear,clear,clear,back_school,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
4,ひょっとしてこの学園への転校も沢山のイケメンと出会えるチャンスだったりして……？！,えみ,clear,clear,clear,back_school,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
5,「キャー！」,女子生徒たち,clear,clear,clear,back_school,0,0,normal,0,0,0,0,0,0,0,text_mob,0,0
6,中庭のほうから女子生徒たちの悲鳴が聞こえてきた。,えみ,clear,clear,clear,back_school,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
7,「キャー！OG☆３よ！」,女子生徒たち,clear,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_mob,0,0
8,「あの……OG☆３ってなんのことですか？」,えみ,clear,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
9,「あなた知らないの？！あの３人がOG☆３よ！！」,女子生徒A,clear,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_mob,0,0
10,女の子の指す方をみるとそこには大勢の女子に囲まれた３人のイケメンが見えた。,えみ,clear,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
11,「真ん中にいるのがスポーツ推薦で入ってきた１年生の本田琉絆空(るきあ)くん。他の２人とは幼馴染でよく一緒にいるみたい。」,女子生徒A,rukia,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_mob,0,0
12,「朝からキャーキャー言ってて本当女子って元気だよな～。」,本田 琉絆空,rukiatrouble,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_rukia,0,0
13,「その横にいる七三分けで頭のよさそうな人がいるでしょう？その人が生徒会長の目鏡(めがね)光くん。」,女子生徒A,hikaru,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_mob,0,0
14,「なんで僕らは日頃からこんなに囲まれてるんだ……。もうすぐ模試があるのに皆勉強しなくていいのか？」,目鏡 光,hikarutrouble,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
15,「小柄でかわいい見た目の犬山桜児(おうじ)くんは２年生！名前通り演劇部でよく王子役をやってるんだって。」,女子生徒A,ouzi,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_mob,0,0
16,「やっほ～！みんな元気～？」,犬山 桜児,ouzismile,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_ouji,0,0
17,こ、ここは天国……？！転校初日から本当に乙女ゲームみたいなシチュエーションになっちゃった！,えみ,clear,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
18,この３人とお近づきになれたらいいな～。えへへ。えへへへへ。,えみ,clear,clear,clear,back_garden,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
19,ドン！,,clear,clear,clear,black,0,0,0,attack,0,0,0,0,0,0,text_monologue,0,0
20,「おい……て……か？」,???,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
21,何か声が聞こえる……？,えみ,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_monologue,0,0
22,「おい、お…てい……か？」,???,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
23,私は一体何をしててこうなったんだっけ。乙女ゲームみたいな展開に浮かれて、それで……,えみ,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_monologue,0,0
24,「聞こえているのかと言っているんだ！」,???,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
25,「ヴェ？！」,えみ,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_own,0,0
26,「銅像が喋った？？？！！」,えみ,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_own,0,0
27,「暇だから暖かな春の空気を満喫しておったらなんじゃその肩パンは！創立者に向かって肩パンて！」,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
28,「いや肩パンしたつもりは……」,えみ,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_own,0,0
29,「うるさい！」,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
30,「ﾋｴｯ！」,えみ,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_own,0,0
31,「どうせイケメンと乙女ゲームみたいな展開になるのを想像して周りが見えてなかったのじゃろう！」,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
32,「ｷﾞｸｯ」,えみ,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_own,0,0
33,「そんなお調子者にはわしの暇つぶしとしてOG☆３のイケメンたち３人とも,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
34,個性的なおじさんに見えちゃう呪いにかけてやるもんねェ？！」,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
35,「な、なにそれ？！じゃあイケメン達とすごくドキドキライフ？する未来は消えたってこと？」,えみ,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_own,0,0
36,「その自信はどこからきとるんじゃ……まあいい。12月のクリスマスまでにおじさん化したOG☆３と愛を育み両思いになれ！,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
